epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.64783,1.9142,3.16501,2.06998,0.00333,1,0.11644,0.03932,1.68791,3.5143,2.27891,0.0955,0.0005,0.0005
2,16.5795,1.86691,2.93194,2.0142,0.00322,0.96667,0.20285,0.06349,1.5847,3.43216,2.12441,0.0900891,0.00108911,0.00108911
3,23.4885,1.76859,2.93274,1.90634,0.00333,1,0.24553,0.0813,1.44466,3.33217,1.88337,0.0846663,0.00166634,0.00166634
4,30.672,1.71786,2.87649,1.75982,0.00322,0.96667,0.32223,0.13408,1.5286,3.29428,1.95564,0.0792317,0.00223169,0.00223169
5,37.9097,1.58729,2.7697,1.71957,0.00333,1,0.48151,0.20731,1.37144,3.24713,1.79027,0.0737852,0.00278516,0.00278516
6,45.3758,1.60019,2.52673,1.71373,0.00322,0.96667,0.60948,0.25354,1.53025,3.2804,1.96145,0.0683268,0.00332675,0.00332675
7,52.6607,1.53468,2.3413,1.59086,0.00322,0.96667,0.601,0.27948,1.45459,3.18918,1.89336,0.0628565,0.00385646,0.00385646
8,59.8563,1.57228,2.25014,1.69897,0.00721,0.96667,0.77476,0.35776,1.48043,3.06399,1.78204,0.0573743,0.00437429,0.00437429
9,67.2321,1.51997,1.88173,1.63251,1,0.14967,0.82523,0.39831,1.45863,2.92279,1.78192,0.0518802,0.00488024,0.00488024
10,74.5787,1.56888,1.90524,1.63442,0.9517,0.53333,0.85835,0.39913,1.41617,2.68921,1.73565,0.0463743,0.00537431,0.00537431
11,81.7305,1.45507,1.67629,1.49912,0.95036,0.63843,0.8571,0.44332,1.39359,2.61593,1.63562,0.0408565,0.0058565,0.0058565
12,89.0838,1.55431,1.86266,1.54283,0.87328,0.68944,0.89322,0.40273,1.36905,2.52834,1.6246,0.0353268,0.00632681,0.00632681
13,96.5245,1.27496,1.45387,1.3939,0.96405,0.89403,0.95575,0.40505,1.54714,2.25577,1.76261,0.0297852,0.00678524,0.00678524
14,104.403,1.48175,1.45601,1.449,0.86474,0.8527,0.87277,0.376,1.51821,2.30821,1.76299,0.0242318,0.00723179,0.00723179
15,111.765,1.5102,1.64429,1.55676,0.86474,0.8527,0.87277,0.376,1.51821,2.30821,1.76299,0.0186665,0.00766646,0.00766646
16,119.268,1.49629,1.43462,1.48528,0.87034,0.89515,0.85441,0.4411,1.46749,2.08235,1.76677,0.0130892,0.00808925,0.00808925
17,126.694,1.48329,1.50875,1.54588,0.70609,0.56076,0.62119,0.24083,1.69912,2.31342,1.93328,0.008416,0.008416,0.008416
18,134.066,1.48084,1.52996,1.45325,0.92411,0.8,0.93559,0.45944,1.49019,1.92224,1.79627,0.008317,0.008317,0.008317
19,141.423,1.38932,1.45217,1.38483,0.92411,0.8,0.93559,0.45944,1.49019,1.92224,1.79627,0.008218,0.008218,0.008218
20,148.699,1.3903,1.34894,1.42434,0.6953,0.73333,0.64306,0.25886,1.97682,2.10053,2.33083,0.008119,0.008119,0.008119
21,156.093,1.47048,1.35941,1.49389,0.75882,0.62939,0.7292,0.3377,1.6374,2.06556,1.87836,0.00802,0.00802,0.00802
22,163.493,1.42582,1.3388,1.41385,0.73023,0.63168,0.72956,0.33023,1.71019,2.12469,2.12785,0.007921,0.007921,0.007921
23,170.832,1.20665,1.25869,1.26837,0.73023,0.63168,0.72956,0.33023,1.71019,2.12469,2.12785,0.007822,0.007822,0.007822
24,178.175,1.29591,1.33596,1.29773,0.86911,0.88561,0.87737,0.45998,1.63458,1.88223,2.12854,0.007723,0.007723,0.007723
25,185.412,1.31712,1.3354,1.40216,0.92511,0.82376,0.86749,0.39176,1.75278,2.00391,2.29986,0.007624,0.007624,0.007624
26,192.724,1.3715,1.31176,1.39147,0.82968,0.83333,0.83502,0.37265,1.75693,2.08598,2.28644,0.007525,0.007525,0.007525
27,199.919,1.22654,1.22361,1.2625,0.82968,0.83333,0.83502,0.37265,1.75693,2.08598,2.28644,0.007426,0.007426,0.007426
28,207.273,1.32841,1.25803,1.40199,0.79252,0.76404,0.79275,0.37694,1.76316,2.00404,2.25183,0.007327,0.007327,0.007327
29,214.493,1.29306,1.25494,1.37377,0.93029,0.88995,0.95218,0.47165,1.62326,1.73362,1.88131,0.007228,0.007228,0.007228
30,221.824,1.30442,1.27941,1.33834,0.89437,0.93333,0.9307,0.53026,1.56617,1.60674,1.81192,0.007129,0.007129,0.007129
31,229.188,1.2709,1.22781,1.31293,0.89437,0.93333,0.9307,0.53026,1.56617,1.60674,1.81192,0.00703,0.00703,0.00703
