epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.626,0.58892,3.59022,1.0189,0.003,0.9,0.24083,0.16829,0.37157,3.83534,0.88213,0.0874,0.0014,0.0014
2,42.9539,0.50569,2.82684,0.98004,0.00322,0.96667,0.57032,0.48652,0.4995,3.60721,0.95167,0.0738713,0.00287129,0.00287129
3,52.7936,0.55237,1.75,1.00225,1,0.36393,0.70075,0.59183,0.50637,3.2355,0.92236,0.0603129,0.00431288,0.00431288
4,64.2964,0.60205,1.64924,0.9719,1,0.57017,0.81532,0.68656,0.63179,3.06114,0.89995,0.0467248,0.00572477,0.00572477
5,75.4055,0.63113,1.34088,0.96829,1,0.6575,0.84754,0.71556,0.743,2.76127,0.99675,0.033107,0.00710696,0.00710696
6,87.3959,0.60799,1.29837,0.98174,1,0.72927,0.90836,0.73366,0.65099,2.2563,0.98286,0.0194594,0.00845945,0.00845945
7,100.537,0.84287,1.37651,1.0501,0.90919,0.93333,0.97098,0.76676,0.73427,2.11342,0.92069,0.009406,0.009406,0.009406
8,114.229,0.78663,1.33839,1.01049,1,0.42776,0.72846,0.52517,1.03021,2.98924,1.1878,0.009307,0.009307,0.009307
9,127.978,0.67666,1.24536,1.00806,0.80934,0.56603,0.74484,0.58581,0.90956,2.64001,1.13959,0.009208,0.009208,0.009208
10,141.163,0.66801,1.13897,0.99216,1,0.62688,0.78145,0.62005,0.89708,2.07978,1.19635,0.009109,0.009109,0.009109
11,155.023,0.70756,1.15832,0.98522,1,0.72461,0.79988,0.63625,0.89374,2.10494,1.18629,0.00901,0.00901,0.00901
12,170.699,0.64339,1.08817,0.97357,1,0.89134,0.93238,0.7872,0.6398,1.45673,0.91048,0.008911,0.008911,0.008911
13,186.29,0.62787,1.02954,0.97441,0.88892,0.93333,0.94236,0.78605,0.61341,1.47243,0.9292,0.008812,0.008812,0.008812
14,201.88,0.69975,1.08735,0.99552,1,0.96447,0.96665,0.80269,0.58504,1.23206,0.93692,0.008713,0.008713,0.008713
15,217.981,0.68476,1.06683,1.06258,0.96529,0.9273,0.93649,0.79007,0.64877,1.34305,1.00094,0.008614,0.008614,0.008614
16,233.77,0.70248,1.03413,1.03427,0.89635,0.86484,0.91989,0.72701,0.71074,1.33901,1.06266,0.008515,0.008515,0.008515
17,250.152,0.61675,0.92277,0.97689,0.90304,1,0.98116,0.80701,0.61809,1.10987,0.98498,0.008416,0.008416,0.008416
18,268.519,0.64462,0.92286,0.98423,0.96096,0.82083,0.94274,0.75137,0.73009,1.20528,0.9714,0.008317,0.008317,0.008317
19,285.714,0.65221,0.89693,1.00295,0.8581,0.86667,0.90363,0.74103,0.74382,1.21987,1.00282,0.008218,0.008218,0.008218
20,303.015,0.678,0.87075,0.9968,0.82779,0.83333,0.84253,0.6909,0.70691,1.42602,1.03561,0.008119,0.008119,0.008119
21,318.838,0.66641,0.87821,1.0244,0.85287,0.83333,0.8616,0.69388,0.76416,1.34754,1.11652,0.00802,0.00802,0.00802
22,332.304,0.64272,0.82614,0.99996,0.96022,0.83333,0.89726,0.7514,0.66029,1.16889,1.00421,0.007921,0.007921,0.007921
23,347.591,0.62893,0.83049,0.99318,0.86401,0.8,0.89371,0.7435,0.72566,1.28183,1.00771,0.007822,0.007822,0.007822
24,368.638,0.65946,0.84429,0.99066,0.99995,0.76667,0.86766,0.74671,0.62346,1.16544,0.98538,0.007723,0.007723,0.007723
25,388.493,0.55421,0.74447,0.94414,0.91708,0.86667,0.89678,0.67962,0.83129,1.16839,1.10995,0.007624,0.007624,0.007624
26,409.363,0.59017,0.87372,0.96307,0.98715,0.7,0.77202,0.60838,0.74401,1.01073,1.01436,0.007525,0.007525,0.007525
27,428.674,0.65805,0.7979,1.00325,0.99307,0.73333,0.79255,0.65115,0.72543,0.93825,0.97774,0.007426,0.007426,0.007426
28,450.17,0.63294,0.76238,0.96073,0.97833,0.7,0.74803,0.58983,0.69931,0.93531,0.99822,0.007327,0.007327,0.007327
29,473.041,0.67641,0.76829,1.01544,0.97637,0.73333,0.81888,0.65032,0.65862,0.89832,0.96313,0.007228,0.007228,0.007228
30,494.516,0.59459,0.73714,0.98702,0.96225,0.84995,0.88205,0.71809,0.63993,0.89499,0.94514,0.007129,0.007129,0.007129
31,517.186,0.6439,0.7313,0.99268,0.95823,0.76475,0.78912,0.62424,0.68867,0.86102,0.97642,0.00703,0.00703,0.00703
32,537.423,0.59672,0.7199,0.9489,0.91242,0.7,0.69176,0.57968,0.51325,0.75412,0.91159,0.006931,0.006931,0.006931
33,561.944,0.61249,0.72395,0.99572,1,0.7304,0.78576,0.68529,0.53706,0.74894,0.90443,0.006832,0.006832,0.006832
34,584.038,0.58213,0.6403,0.96337,0.99384,0.7,0.7155,0.60779,0.65561,0.87931,1.04368,0.006733,0.006733,0.006733
35,605.558,0.61882,0.66014,0.96063,0.98865,0.7,0.73359,0.62485,0.63526,0.82792,0.93859,0.006634,0.006634,0.006634
36,628.147,0.58687,0.63657,0.94841,0.91198,0.69105,0.72138,0.60719,0.61269,0.84884,0.89297,0.006535,0.006535,0.006535
37,652.383,0.5757,0.62218,0.94425,1,0.66433,0.68658,0.62284,0.59453,0.75453,0.87118,0.006436,0.006436,0.006436
38,674.091,0.56978,0.60528,0.96704,0.91962,0.76292,0.75595,0.66616,0.57951,0.70773,0.87155,0.006337,0.006337,0.006337
39,698.299,0.56287,0.67096,0.9643,0.92252,0.79395,0.817,0.67548,0.5492,0.75913,0.9543,0.006238,0.006238,0.006238
40,720.462,0.53754,0.61746,0.91578,0.92353,0.86667,0.86084,0.7164,0.55304,0.67686,0.99301,0.006139,0.006139,0.006139
41,743.011,0.57296,0.61927,0.95874,0.90833,0.99102,0.98134,0.86698,0.50526,0.64928,0.97339,0.00604,0.00604,0.00604
42,763.28,0.57321,0.60022,0.97105,1,0.99523,0.995,0.86226,0.52605,0.58635,0.92277,0.005941,0.005941,0.005941
43,782.146,0.55337,0.59821,0.96183,0.98321,0.9,0.97419,0.87868,0.52945,0.6617,0.92133,0.005842,0.005842,0.005842
44,800.867,0.52301,0.58987,0.91906,0.99062,1,0.995,0.85667,0.60521,0.60902,0.92864,0.005743,0.005743,0.005743
45,820.762,0.49499,0.54786,0.93484,0.93704,0.99242,0.98879,0.83726,0.5899,0.63636,0.92945,0.005644,0.005644,0.005644
46,836.433,0.53099,0.60498,0.94861,0.93703,0.99231,0.98312,0.84941,0.57728,0.61641,0.91026,0.005545,0.005545,0.005545
47,852.881,0.54566,0.57989,0.93718,0.93131,1,0.98546,0.84793,0.58423,0.6336,0.9228,0.005446,0.005446,0.005446
48,870.492,0.53505,0.57534,0.95326,0.96476,1,0.98855,0.83788,0.58113,0.61146,0.95465,0.005347,0.005347,0.005347
49,888.815,0.56657,0.56535,0.95763,0.99703,1,0.995,0.88665,0.52397,0.58682,0.88192,0.005248,0.005248,0.005248
50,904.512,0.51993,0.55777,0.91906,0.96153,1,0.99306,0.86754,0.55806,0.58188,0.96148,0.005149,0.005149,0.005149
51,920.411,0.53389,0.57742,0.95469,0.9954,1,0.995,0.86372,0.514,0.56723,0.95393,0.00505,0.00505,0.00505
52,934.802,0.54038,0.57606,0.93853,0.9957,1,0.995,0.88512,0.48747,0.52285,0.92882,0.004951,0.004951,0.004951
53,953.01,0.48712,0.52088,0.912,1,0.99618,0.995,0.90878,0.48022,0.48543,0.93447,0.004852,0.004852,0.004852
54,971.56,0.51972,0.56766,0.93748,0.99525,1,0.995,0.88612,0.49628,0.50306,0.91191,0.004753,0.004753,0.004753
55,988.282,0.48306,0.49667,0.93407,0.99214,1,0.995,0.87948,0.50064,0.51129,0.89582,0.004654,0.004654,0.004654
