epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,799.388,1.11687,1.03078,1.22879,0.80782,0.81755,0.79172,0.40083,1.5698,2.34867,2.29946,0.005743,0.005743,0.005743
45,817.532,1.1135,1.16369,1.30145,0.83639,0.75,0.78925,0.4383,1.66298,2.05557,2.55531,0.005644,0.005644,0.005644
46,835.937,1.10625,1.06827,1.22143,0.78408,0.77778,0.76493,0.35861,1.66036,2.23733,2.46133,0.005545,0.005545,0.005545
47,854.315,1.17953,1.03209,1.25217,0.86011,0.77778,0.81781,0.37594,1.70376,2.13193,2.60155,0.005446,0.005446,0.005446
48,872.557,1.13028,1.05233,1.29425,0.88294,0.77778,0.8121,0.38844,1.88243,2.03406,2.64727,0.005347,0.005347,0.005347
49,890.483,1.02079,1.02924,1.23481,0.78374,0.60421,0.73204,0.33894,1.68737,3.17229,2.57816,0.005248,0.005248,0.005248
50,908.457,1.12438,1.07512,1.30568,0.74032,0.87128,0.84335,0.41175,1.74036,2.44004,2.61015,0.005149,0.005149,0.005149
51,926.193,1.04015,0.97436,1.2127,0.8192,0.88114,0.85325,0.45513,1.63968,2.35132,2.56496,0.00505,0.00505,0.00505
52,943.972,1.08668,1.03749,1.22947,0.82631,0.86111,0.84034,0.41111,1.8508,2.15955,2.6845,0.004951,0.004951,0.004951
53,961.889,1.01663,0.99999,1.25139,0.80022,0.72222,0.79725,0.3331,2.23524,2.50034,3.06996,0.004852,0.004852,0.004852
54,980.036,1.15403,1.0829,1.24904,0.69321,0.83333,0.79147,0.36685,2.14061,2.23752,3.06802,0.004753,0.004753,0.004753
55,997.78,0.97226,0.94054,1.24078,0.84664,0.66667,0.75632,0.36506,2.10158,2.55151,3.05852,0.004654,0.004654,0.004654
56,1015.64,1.08796,1.03933,1.26631,0.6555,0.79298,0.7748,0.34291,2.17613,2.25877,3.08095,0.004555,0.004555,0.004555
57,1033.63,1.08761,0.94596,1.23481,0.64278,0.77778,0.69032,0.31108,2.12193,1.98329,3.07671,0.004456,0.004456,0.004456
58,1051.4,1.05061,0.97526,1.23613,0.77476,0.69444,0.76737,0.34903,1.81031,2.21827,2.63784,0.004357,0.004357,0.004357
59,1069.15,1.09003,1.02149,1.22253,0.65566,0.75,0.74496,0.32829,1.86389,2.08016,2.74598,0.004258,0.004258,0.004258
60,1087.11,0.98494,0.87515,1.17982,0.79579,0.75788,0.79375,0.40302,1.67616,1.78568,2.57744,0.004159,0.004159,0.004159
61,1105.28,0.97566,0.94747,1.16993,0.87292,0.76344,0.85539,0.43974,1.73753,1.57091,2.62402,0.00406,0.00406,0.00406
62,1123.07,0.95147,0.88045,1.17074,0.84274,0.83333,0.86584,0.45063,1.68625,1.54489,2.54213,0.003961,0.003961,0.003961
63,1140.88,1.03811,0.97838,1.18223,0.86086,0.91667,0.93872,0.46514,1.69154,1.40834,2.50035,0.003862,0.003862,0.003862
64,1158.8,1.0092,0.97249,1.22535,0.91855,0.93984,0.93935,0.47622,1.74788,1.36172,2.49103,0.003763,0.003763,0.003763
65,1176.86,1.00119,0.86387,1.20591,0.91243,0.91667,0.93426,0.47311,1.76683,1.48385,2.57544,0.003664,0.003664,0.003664
66,1195.2,0.93055,0.81509,1.16145,0.93464,0.88889,0.9326,0.48535,1.61749,1.57291,2.40723,0.003565,0.003565,0.003565
67,1213.42,0.92911,0.85906,1.16341,0.91201,0.88889,0.95383,0.49006,1.65195,1.46591,2.45372,0.003466,0.003466,0.003466
68,1231.68,0.89723,0.89561,1.20722,0.84276,0.91667,0.92,0.51071,1.70424,1.44266,2.52759,0.003367,0.003367,0.003367
69,1249.91,0.96301,0.86496,1.22262,0.87031,0.93224,0.94039,0.51375,1.56454,1.52146,2.34806,0.003268,0.003268,0.003268
70,1267.99,0.85337,0.83983,1.15941,0.84588,0.91477,0.92891,0.49136,1.60739,1.45356,2.35726,0.003169,0.003169,0.003169
71,1285.83,0.96807,0.90626,1.19859,0.83952,0.87205,0.92435,0.50738,1.67654,1.33712,2.54643,0.00307,0.00307,0.00307
72,1304.03,0.97237,0.92269,1.22131,0.81108,0.77778,0.87727,0.48229,1.71533,1.51068,2.60355,0.002971,0.002971,0.002971
73,1321.99,0.89623,0.84918,1.20044,0.88487,0.86111,0.89631,0.48034,1.70927,1.42083,2.58071,0.002872,0.002872,0.002872
74,1340.15,0.83776,0.82237,1.10347,0.88406,0.91667,0.93717,0.49399,1.66816,1.36563,2.47388,0.002773,0.002773,0.002773
75,1358.15,0.88092,0.82466,1.16198,0.869,0.88889,0.93139,0.48403,1.61797,1.43506,2.39839,0.002674,0.002674,0.002674
76,1375.92,0.87973,0.80996,1.13117,0.96852,0.8549,0.96697,0.49862,1.69774,1.25078,2.47786,0.002575,0.002575,0.002575
77,1393.77,0.94948,0.86486,1.14447,0.96129,0.83333,0.94521,0.47273,1.66329,1.29158,2.45455,0.002476,0.002476,0.002476
78,1411.92,0.85249,0.7954,1.09829,0.99638,0.83333,0.94881,0.47944,1.66291,1.29923,2.40564,0.002377,0.002377,0.002377
79,1429.62,0.90941,0.86635,1.21333,0.96066,0.83333,0.96595,0.52744,1.62365,1.21648,2.39469,0.002278,0.002278,0.002278
80,1447.68,0.86425,0.86078,1.1752,0.94342,0.92646,0.97992,0.53842,1.62455,1.17679,2.43142,0.002179,0.002179,0.002179
81,1465.37,0.86758,0.83803,1.12096,0.94131,0.97222,0.97694,0.53168,1.60742,1.19445,2.3729,0.00208,0.00208,0.00208
82,1483.32,0.89431,0.82707,1.12146,0.91663,0.97222,0.9718,0.50612,1.63266,1.17891,2.39514,0.001981,0.001981,0.001981
83,1501.55,0.89243,0.76974,1.16588,0.94314,0.97222,0.97359,0.53359,1.59206,1.14455,2.37823,0.001882,0.001882,0.001882
84,1519.82,0.79587,0.71939,1.09808,0.94197,0.97222,0.97407,0.55348,1.5578,1.15291,2.37296,0.001783,0.001783,0.001783
85,1537.9,0.88454,0.85191,1.13745,0.94372,0.97222,0.97462,0.54674,1.58327,1.151,2.3706,0.001684,0.001684,0.001684
86,1556.03,0.83168,0.81363,1.09025,0.9395,0.97222,0.98264,0.53974,1.54674,1.18768,2.32015,0.001585,0.001585,0.001585
87,1574.03,0.75985,0.73348,1.06298,0.97123,0.93792,0.98272,0.5501,1.58529,1.15867,2.355,0.001486,0.001486,0.001486
88,1592.17,0.78514,0.71313,1.06049,0.90234,0.97222,0.97396,0.54742,1.58994,1.15572,2.39261,0.001387,0.001387,0.001387
89,1610.1,0.76995,0.7092,1.05283,0.91511,0.91667,0.97355,0.5522,1.59241,1.11351,2.40889,0.001288,0.001288,0.001288
90,1628.17,0.8107,0.75456,1.12767,0.94235,0.94444,0.98271,0.55729,1.58314,1.13386,2.43118,0.001189,0.001189,0.001189
91,1645.95,0.78743,1.10979,1.19747,0.9382,0.91667,0.97877,0.55948,1.59942,1.09072,2.45174,0.00109,0.00109,0.00109
92,1663.62,0.69626,1.04071,1.03803,0.97037,0.90976,0.96989,0.53116,1.57731,1.10601,2.43136,0.000991,0.000991,0.000991
93,1681.4,0.77383,0.95026,1.10219,0.97044,0.91208,0.94809,0.52516,1.57345,1.10278,2.44817,0.000892,0.000892,0.000892
94,1699.37,0.76626,0.95719,1.13495,0.96167,0.88889,0.94233,0.53567,1.57966,1.12204,2.46323,0.000793,0.000793,0.000793
95,1717.4,0.67072,0.916,1.04703,0.94257,0.91667,0.95219,0.54638,1.56211,1.11593,2.4547,0.000694,0.000694,0.000694
96,1735.44,0.70475,0.91205,1.12411,0.91256,0.91667,0.95567,0.54612,1.56474,1.12159,2.46299,0.000595,0.000595,0.000595
97,1753.03,0.74613,0.90281,1.05386,0.91577,0.94444,0.94349,0.52899,1.57195,1.11172,2.45177,0.000496,0.000496,0.000496
98,1770.73,0.61311,0.86269,1.0103,0.91683,0.94444,0.93642,0.52231,1.56986,1.12902,2.425,0.000397,0.000397,0.000397
99,1788.85,0.60915,0.80005,0.99716,0.91697,0.94444,0.94279,0.52249,1.56669,1.13891,2.40928,0.000298,0.000298,0.000298
100,1806.75,0.64779,0.81313,1.03574,0.91636,0.94444,0.94496,0.52561,1.55575,1.13967,2.38483,0.000199,0.000199,0.000199
