epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5022,1.80975,3.76034,1.78475,0.00258,1,0.00654,0.00221,2.05374,4.93277,1.87537,0.091,0.001,0.001
2,23.939,2.02599,4.03703,2.0456,0.00242,0.94118,0.0067,0.00282,2.14073,4.81348,2.1394,0.0810881,0.00208812,0.00208812
3,35.7404,1.90619,3.68008,1.9415,0.00212,0.82353,0.00629,0.00223,2.089,4.70338,2.22483,0.0711638,0.00316379,0.00316379
4,47.2235,1.57398,4.21375,1.59512,0.00197,0.76471,0.00852,0.00356,2.35232,4.78525,2.42818,0.061227,0.00422702,0.00422702
5,58.9634,1.80403,3.71173,1.74229,0.00242,0.94118,0.02525,0.0103,1.68133,4.54394,1.97742,0.0512778,0.00527781,0.00527781
6,70.7884,1.7387,3.66404,1.68528,0.00242,0.94118,0.07458,0.02718,1.59551,4.30889,1.89981,0.0413161,0.00631614,0.00631614
7,82.5664,1.51154,3.663,1.49192,0.00258,1,0.04631,0.02656,1.74797,4.09632,1.69449,0.031342,0.00734203,0.00734203
8,94.3119,1.54671,3.49989,1.5964,0.00258,1,0.04589,0.02154,1.86575,4.14205,1.7459,0.0213555,0.00835548,0.00835548
9,106.271,1.86974,3.44397,1.7906,0.00258,1,0.1795,0.07593,1.88967,3.8636,1.63428,0.0113565,0.00935648,0.00935648
10,117.902,1.49118,3.74359,1.51831,0.46122,0.05426,0.19353,0.10406,1.98917,4.04844,1.79178,0.00949086,0.00949086,0.00949086
11,129.815,1.39803,3.40949,1.40762,0.22959,0.08992,0.17979,0.1002,2.16028,4.10975,1.96015,0.00943429,0.00943429,0.00943429
12,141.267,1.81378,3.07462,1.69047,0.26869,0.11765,0.1748,0.08394,2.14565,4.04535,1.98128,0.00937771,0.00937771,0.00937771
13,152.826,1.72288,3.22424,1.75756,0.00106,0.41176,0.00128,0.00037,3.06037,6.37059,2.89216,0.00932114,0.00932114,0.00932114
14,164.389,1.46584,3.24233,1.54718,0.00182,0.70588,0.00233,0.00073,2.78828,6.42945,3.01047,0.00926457,0.00926457,0.00926457
15,176.269,1.73988,2.89694,1.63091,0.03561,0.05882,0.0077,0.00333,2.61933,5.90873,2.52909,0.009208,0.009208,0.009208
16,188.31,1.59867,2.59998,1.61454,0.31669,0.23529,0.11422,0.0292,2.55919,5.50196,2.18959,0.00915143,0.00915143,0.00915143
17,200.095,1.79678,3.07749,1.66859,0.52724,0.23529,0.21939,0.06875,2.49442,6.10178,2.15537,0.00909486,0.00909486,0.00909486
18,212.106,1.85084,3.16123,1.73138,0.6751,0.29412,0.30555,0.12906,2.29916,4.27722,2.04875,0.00903829,0.00903829,0.00903829
19,223.883,1.70729,2.66601,1.61651,0.28034,0.47059,0.33583,0.15685,2.1964,3.90241,1.87802,0.00898171,0.00898171,0.00898171
20,236.167,1.78425,3.0789,1.64961,0.47395,0.35294,0.35412,0.12796,1.9406,3.88106,1.69371,0.00892514,0.00892514,0.00892514
21,247.654,1.62861,2.60782,1.61276,0.48441,0.29412,0.35444,0.14555,1.88667,3.57239,1.59577,0.00886857,0.00886857,0.00886857
22,259.237,1.72237,2.64516,1.68636,0.4177,0.41176,0.28734,0.13294,1.948,3.50373,1.6772,0.008812,0.008812,0.008812
23,270.745,1.61512,2.59261,1.58084,0.33969,0.23529,0.27931,0.1158,2.17984,4.09775,1.96559,0.00875543,0.00875543,0.00875543
24,282.316,1.74232,2.69109,1.66504,0.66857,0.35294,0.42266,0.17165,2.17543,3.92734,1.97062,0.00869886,0.00869886,0.00869886
25,293.73,1.65761,2.42891,1.58628,0.69004,0.29412,0.36581,0.13992,2.24228,3.94273,1.93956,0.00864229,0.00864229,0.00864229
26,305.657,1.69973,2.73422,1.60948,0.23024,0.35294,0.21255,0.07787,2.46132,3.76208,2.18044,0.00858571,0.00858571,0.00858571
27,317.684,1.71264,2.4532,1.66349,0.22803,0.41176,0.27263,0.08589,2.23993,3.82798,2.21421,0.00852914,0.00852914,0.00852914
28,329.62,1.4705,2.682,1.52718,0.2923,0.47059,0.30293,0.12395,2.00684,3.47106,1.88805,0.00847257,0.00847257,0.00847257
29,341.364,1.65169,2.69403,1.62628,0.1405,0.58824,0.21662,0.10877,1.96289,4.53808,2.00953,0.008416,0.008416,0.008416
30,353.215,1.42929,2.27297,1.47651,0.17175,0.41176,0.2226,0.0951,1.93533,4.61215,1.92237,0.00835943,0.00835943,0.00835943
31,364.863,1.60023,2.3148,1.63438,0.65115,0.52941,0.47977,0.17821,1.85754,3.82125,1.94756,0.00830286,0.00830286,0.00830286
32,376.452,1.66465,2.53352,1.58496,0.17958,0.47059,0.2293,0.0759,2.05081,5.66804,2.19205,0.00824629,0.00824629,0.00824629
33,388.127,1.41765,2.43121,1.37855,0.22326,0.29412,0.21043,0.07943,2.0419,4.28323,2.08655,0.00818971,0.00818971,0.00818971
34,399.746,1.46735,2.02105,1.50472,0.41779,0.35294,0.28682,0.09091,2.29113,3.39249,2.24664,0.00813314,0.00813314,0.00813314
35,411.473,1.46849,2.18797,1.57287,0.1302,0.47059,0.14007,0.06003,2.27705,5.95939,2.30577,0.00807657,0.00807657,0.00807657
36,423.211,1.54625,2.49019,1.44312,0.53178,0.23529,0.32174,0.13818,2.21647,4.87889,2.28027,0.00802,0.00802,0.00802
37,434.849,1.5807,2.07131,1.55239,0.38018,0.35294,0.31893,0.09792,2.2474,4.26128,2.30865,0.00796343,0.00796343,0.00796343
38,446.608,1.50875,1.92338,1.4877,0.32897,0.35294,0.30862,0.12887,2.1378,4.0268,2.09581,0.00790686,0.00790686,0.00790686
39,458.231,1.58127,2.23033,1.5578,0.2326,0.52941,0.31669,0.16921,1.98172,4.06132,1.98825,0.00785029,0.00785029,0.00785029
40,469.895,1.67153,1.94738,1.60943,0.18033,0.64706,0.26015,0.08897,1.99215,4.87112,2.04606,0.00779371,0.00779371,0.00779371
41,481.645,1.36746,1.86492,1.41618,0.36156,0.29412,0.24035,0.12175,2.09053,3.47947,2.23285,0.00773714,0.00773714,0.00773714
42,493.347,1.45866,1.94865,1.55233,0.55458,0.58824,0.48222,0.24392,2.03585,3.08476,2.18714,0.00768057,0.00768057,0.00768057
43,505.021,1.53168,1.94242,1.51306,0.49103,0.41176,0.45735,0.21269,1.94469,2.9656,1.89679,0.007624,0.007624,0.007624
44,516.666,1.34418,1.89094,1.46986,0.73371,0.35294,0.44045,0.20235,1.97226,2.88661,1.82831,0.00756743,0.00756743,0.00756743
45,528.326,1.3361,1.86072,1.4191,0.24744,0.23529,0.17665,0.07809,1.99079,4.24884,1.78733,0.00751086,0.00751086,0.00751086
46,540.149,1.40746,1.78692,1.44575,0.40601,0.47059,0.38663,0.1625,1.87355,3.03504,1.72239,0.00745429,0.00745429,0.00745429
47,551.851,1.36059,1.75163,1.39802,0.584,0.58824,0.5116,0.25198,1.78117,2.67655,1.63704,0.00739771,0.00739771,0.00739771
48,563.548,1.21088,2.10352,1.27816,0.67373,0.58824,0.58926,0.18908,1.99086,2.87111,1.81637,0.00734114,0.00734114,0.00734114
49,575.241,1.23713,1.56297,1.30298,0.3697,0.41176,0.37022,0.18672,1.90833,2.83918,1.72871,0.00728457,0.00728457,0.00728457
50,586.964,1.36569,1.66977,1.42065,0.72547,0.35294,0.4403,0.22358,1.90394,2.50198,1.71614,0.007228,0.007228,0.007228
51,598.611,1.37387,1.77044,1.47137,0.66236,0.29412,0.38682,0.20256,1.85853,2.58077,1.67729,0.00717143,0.00717143,0.00717143
52,610.311,1.35055,1.5908,1.41793,0.39648,0.52941,0.39418,0.2084,1.89999,2.42187,1.76426,0.00711486,0.00711486,0.00711486
53,622.468,1.37448,1.67214,1.40065,0.76891,0.58725,0.5806,0.26449,1.87843,2.48678,1.93003,0.00705829,0.00705829,0.00705829
54,634.109,1.26141,1.40588,1.36375,0.55869,0.67092,0.60031,0.2361,2.0235,2.30891,1.90975,0.00700171,0.00700171,0.00700171
55,645.84,1.24189,1.42022,1.3429,0.56223,0.37899,0.46501,0.21566,1.94225,2.53931,1.86601,0.00694514,0.00694514,0.00694514
56,657.481,1.3212,1.62898,1.35261,1,0.29381,0.38504,0.15842,1.88063,2.76672,1.82454,0.00688857,0.00688857,0.00688857
57,669.227,1.42141,1.6648,1.51282,0.96073,0.35294,0.4706,0.1774,1.8168,2.58578,1.83265,0.006832,0.006832,0.006832
58,680.956,1.18597,1.76962,1.20282,0.9506,0.29412,0.3819,0.15935,1.88577,2.96434,1.8926,0.00677543,0.00677543,0.00677543
59,692.575,1.22576,1.39911,1.34541,0.63734,0.47059,0.47505,0.23205,1.87908,2.49634,1.89069,0.00671886,0.00671886,0.00671886
60,704.259,1.24812,1.61372,1.32528,0.41077,0.64706,0.50777,0.23657,1.79204,2.34682,1.81196,0.00666229,0.00666229,0.00666229
61,715.933,1.15025,1.59337,1.2375,0.70824,0.57207,0.64402,0.31077,1.79986,2.21987,1.82069,0.00660571,0.00660571,0.00660571
62,727.517,1.23911,1.49813,1.3321,0.54726,0.70588,0.5693,0.23796,1.867,2.0685,1.82464,0.00654914,0.00654914,0.00654914
63,739.551,1.17054,1.32219,1.2978,0.63493,0.76471,0.70582,0.2987,1.86467,2.04316,1.84244,0.00649257,0.00649257,0.00649257
64,751.288,1.26202,1.4174,1.35459,0.76038,0.74742,0.7189,0.30924,2.06094,1.88944,2.02249,0.006436,0.006436,0.006436
65,762.943,1.20002,1.46216,1.36885,0.82472,0.58824,0.6943,0.29591,1.98118,2.07056,1.9498,0.00637943,0.00637943,0.00637943
66,774.578,1.23822,1.58816,1.29117,0.64355,0.7441,0.67918,0.31816,1.90917,1.84134,1.9002,0.00632286,0.00632286,0.00632286
67,786.204,1.02972,1.74199,1.13255,0.57364,0.63372,0.61631,0.26711,1.91615,2.01287,1.79126,0.00626629,0.00626629,0.00626629
68,797.83,1.18984,1.43163,1.33243,0.87486,0.41132,0.57062,0.25527,1.94157,2.16852,1.84454,0.00620971,0.00620971,0.00620971
69,809.493,1.36205,1.62561,1.41187,0.87237,0.47059,0.66155,0.27646,1.96239,2.36778,1.86504,0.00615314,0.00615314,0.00615314
70,821.377,1.23435,1.34227,1.31399,0.60263,0.62524,0.62864,0.31683,1.87474,2.13763,1.84246,0.00609657,0.00609657,0.00609657
71,833.056,1.16254,1.4105,1.29898,0.67084,0.64706,0.61585,0.31272,1.82341,2.0189,1.85653,0.00604,0.00604,0.00604
72,844.81,1.29051,1.35561,1.31998,0.62752,0.64706,0.60627,0.30205,1.7717,2.02583,1.82092,0.00598343,0.00598343,0.00598343
73,856.422,1.27536,1.34391,1.33639,0.81253,0.58824,0.66642,0.32992,1.85131,1.93792,1.88711,0.00592686,0.00592686,0.00592686
74,868,1.28196,1.31327,1.35213,0.73966,0.70588,0.7086,0.34777,1.8757,1.75113,1.88606,0.00587029,0.00587029,0.00587029
75,879.769,1.17955,1.23922,1.26741,0.90834,0.58335,0.6684,0.31582,1.93563,2.03482,1.95791,0.00581371,0.00581371,0.00581371
76,891.349,1.27058,1.25289,1.37795,0.88947,0.52941,0.70836,0.33557,1.95922,1.86106,1.97385,0.00575714,0.00575714,0.00575714
77,903.088,1.00786,1.30615,1.08012,0.80191,0.52941,0.61888,0.31895,1.87992,1.89485,1.86886,0.00570057,0.00570057,0.00570057
78,914.67,1.02389,1.17629,1.20063,0.8801,0.52941,0.60565,0.30581,1.91415,1.97941,1.91595,0.005644,0.005644,0.005644
79,926.263,1.11672,1.43248,1.16708,0.89389,0.58824,0.63102,0.33111,1.74845,2.04265,1.78302,0.00558743,0.00558743,0.00558743
80,937.991,1.20494,1.20298,1.22924,1,0.58064,0.65171,0.33649,1.82047,1.99584,1.7388,0.00553086,0.00553086,0.00553086
81,949.631,1.09403,1.05712,1.29277,0.88289,0.58824,0.68232,0.34268,1.95541,1.71413,1.75889,0.00547429,0.00547429,0.00547429
82,961.319,1.00907,1.04546,1.16906,0.81438,0.58824,0.68117,0.34752,1.91875,1.68219,1.78423,0.00541771,0.00541771,0.00541771
83,972.981,1.01378,1.0389,1.16231,0.75715,0.58824,0.6069,0.33404,1.78455,1.92064,1.80881,0.00536114,0.00536114,0.00536114
84,984.694,1.06389,1.1663,1.17324,0.80962,0.58824,0.60814,0.34556,1.70221,2.14198,1.67587,0.00530457,0.00530457,0.00530457
85,996.377,1.05581,1.16563,1.23844,0.75772,0.58824,0.66034,0.33723,1.63139,2.0299,1.65231,0.005248,0.005248,0.005248
86,1008.03,1.13359,1.12699,1.20149,0.72184,0.64706,0.59858,0.32335,1.59517,2.03751,1.67295,0.00519143,0.00519143,0.00519143
87,1019.65,0.88095,1.22705,1.04656,0.75104,0.58824,0.61006,0.31332,1.76227,1.96094,1.91171,0.00513486,0.00513486,0.00513486
88,1031.19,0.95673,1.37447,1.0798,0.87122,0.58824,0.64348,0.31616,1.88755,2.07836,2.03477,0.00507829,0.00507829,0.00507829
89,1042.96,1.11059,1.09862,1.20077,0.67235,0.52941,0.56903,0.2774,1.87927,2.0344,1.98599,0.00502171,0.00502171,0.00502171
90,1054.66,0.92684,1.01063,1.13673,0.68055,0.41176,0.54086,0.28725,1.91531,2.07993,1.94712,0.00496514,0.00496514,0.00496514
91,1066.2,1.06395,1.29929,1.29371,0.62041,0.41176,0.51838,0.26177,2.00401,2.13438,1.91462,0.00490857,0.00490857,0.00490857
92,1078.3,0.94791,1.0581,1.12551,0.67469,0.47059,0.55596,0.30828,1.80696,2.04621,1.87225,0.004852,0.004852,0.004852
93,1089.81,1.1873,1.21001,1.34068,0.63733,0.52941,0.61033,0.2926,1.94952,1.84736,1.89787,0.00479543,0.00479543,0.00479543
94,1101.54,1.05351,1.15821,1.24508,0.59059,0.58824,0.533,0.23886,1.94121,2.14149,1.94941,0.00473886,0.00473886,0.00473886
95,1113.03,0.89836,1.14317,1.04652,0.63524,0.58824,0.58542,0.25508,2.07041,1.93602,1.97262,0.00468229,0.00468229,0.00468229
96,1124.72,1.0785,1.17177,1.18832,0.6963,0.58824,0.61551,0.30475,1.83294,1.67025,1.70778,0.00462571,0.00462571,0.00462571
97,1136.32,1.08403,1.19959,1.22301,0.78453,0.64284,0.65347,0.30009,1.83082,1.71058,1.79128,0.00456914,0.00456914,0.00456914
98,1148.16,1.26972,1.20106,1.50452,0.64413,0.64706,0.54293,0.26629,1.84917,1.85702,1.85672,0.00451257,0.00451257,0.00451257
99,1159.7,0.98849,1.08103,1.13834,0.83046,0.64706,0.66469,0.249,2.01888,1.73572,1.87932,0.004456,0.004456,0.004456
