epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1162,1.81433,3.93974,1.75667,0.00253,0.91667,0.01089,0.00425,1.8853,4.44963,1.83126,0.0883,0.0013,0.0013
2,31.3251,2.0351,3.90596,1.87594,0.00241,0.875,0.01352,0.00587,2.0412,4.26667,1.90942,0.0756859,0.00268593,0.00268593
3,46.3695,1.72599,3.69554,1.79052,0.00264,0.95833,0.02416,0.00924,1.6155,4.23283,1.73464,0.0630573,0.00405727,0.00405727
4,62.423,1.71458,3.74932,1.71915,0.00264,0.95833,0.01744,0.00675,1.75147,4.47063,1.79931,0.050414,0.00541403,0.00541403
5,77.5278,1.67747,3.46715,1.60162,0.00207,0.75,0.00861,0.00481,2.191,4.69183,2.6598,0.0377562,0.00675619,0.00675619
6,92.9203,1.5523,3.34901,1.52824,0.00264,0.95833,0.21174,0.09335,1.89109,4.08335,1.85007,0.0250838,0.00808376,0.00808376
7,107.928,1.58099,3.29848,1.53185,0.53509,0.09795,0.32073,0.14163,1.71932,3.74316,1.64331,0.0123967,0.00939675,0.00939675
8,123.168,1.83768,3.17605,1.77823,0.28677,0.20833,0.16369,0.08316,1.7504,3.74387,1.80136,0.00963526,0.00963526,0.00963526
9,139.078,1.67094,3.1142,1.65607,0.2433,0.16667,0.08682,0.05193,1.96261,3.98438,1.8767,0.00958316,0.00958316,0.00958316
10,154.255,1.63622,3.19179,1.62944,0.56695,0.25,0.26918,0.06435,2.42803,5.37421,2.11108,0.00953105,0.00953105,0.00953105
11,169.417,1.88236,3.32745,1.7891,0.39069,0.33333,0.27788,0.0566,2.35096,4.39779,2.0116,0.00947895,0.00947895,0.00947895
12,184.627,1.77261,3.0543,1.64319,0.29082,0.5,0.31567,0.07157,2.30023,4.11281,2.16055,0.00942684,0.00942684,0.00942684
13,200.116,1.65833,3.23238,1.63135,0.13627,0.29167,0.116,0.04383,2.57128,4.20879,2.40718,0.00937474,0.00937474,0.00937474
14,215.355,1.6874,3.09892,1.74089,0.3424,0.20833,0.1518,0.05077,2.41574,3.8795,2.56268,0.00932263,0.00932263,0.00932263
15,230.78,1.60401,3.21257,1.57429,0.30065,0.29167,0.17247,0.05854,2.08235,3.72861,2.19919,0.00927053,0.00927053,0.00927053
16,245.797,1.7581,3.04622,1.69143,0.27491,0.45833,0.19271,0.0544,1.99862,3.86164,2.12404,0.00921842,0.00921842,0.00921842
17,261.083,1.65648,2.65824,1.70058,0.58753,0.375,0.41468,0.15326,2.22585,3.20738,2.22198,0.00916632,0.00916632,0.00916632
