epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1705,2.29931,4.59244,2.08414,0.00246,1,0.00746,0.0024,2.22516,4.91334,2.09669,0.0892,0.0012,0.0012
2,21.0537,2.04841,4.41665,2.06943,0.00211,0.85714,0.00819,0.00296,2.13039,4.97188,2.036,0.0774835,0.0024835,0.0024835
3,32.1468,1.84619,3.70815,1.83068,0.00193,0.78571,0.00874,0.00268,2.49205,5.55359,2.52291,0.0657498,0.00374984,0.00374984
4,42.0942,1.90185,3.74525,1.85295,0.00228,0.92857,0.00424,0.00186,2.33446,5.01202,2.63077,0.053999,0.00499902,0.00499902
5,53.7973,1.6439,3.45366,1.72556,0.00211,0.85714,0.01273,0.00544,2.09086,5.38932,2.40413,0.042231,0.00623104,0.00623104
6,65.3807,1.7246,3.66497,1.85983,0.00211,0.85714,0.01805,0.00922,1.64129,5.06767,2.18251,0.0304459,0.0074459,0.0074459
7,75.4246,1.60394,3.71935,1.7641,0.00228,0.92857,0.16121,0.09342,2.07185,4.67657,2.27163,0.0186436,0.0086436,0.0086436
8,85.3245,1.66859,3.55415,1.75606,0.00211,0.85714,0.14705,0.06641,2.35377,5.2172,2.84331,0.009538,0.009538,0.009538
9,95.2543,1.67393,3.54112,1.74271,0.00211,0.85714,0.14705,0.06641,2.35377,5.2172,2.84331,0.009472,0.009472,0.009472
10,105.211,1.56893,3.43532,1.62056,0.58298,0.21429,0.29829,0.14407,1.95632,4.40753,1.925,0.009406,0.009406,0.009406
11,116.561,1.5553,3.3357,1.66001,0.36704,0.35714,0.32054,0.16006,1.85064,3.78298,1.67653,0.00934,0.00934,0.00934
12,127.163,1.61863,3.47238,1.66741,0.31579,0.5,0.32126,0.11574,1.91996,4.12679,2.0505,0.009274,0.009274,0.009274
13,138.363,1.63158,3.23785,1.64688,0.42836,0.28571,0.2908,0.10103,2.07235,4.43887,2.14415,0.009208,0.009208,0.009208
14,148.893,1.77248,3.35517,1.87936,0.43205,0.5,0.38045,0.1766,1.97675,4.66171,1.95616,0.009142,0.009142,0.009142
15,158.509,1.53358,2.93136,1.63751,0.43205,0.5,0.38045,0.1766,1.97675,4.66171,1.95616,0.009076,0.009076,0.009076
16,168.297,1.37894,2.80971,1.49992,0.66662,0.57143,0.59104,0.23542,1.98912,3.83994,1.87764,0.00901,0.00901,0.00901
17,180.194,1.57785,3.05457,1.65243,0.73967,0.28571,0.35419,0.15257,1.94673,4.32257,1.96912,0.008944,0.008944,0.008944
18,190.046,1.706,3.06922,1.81416,0.30753,0.35714,0.28614,0.12914,1.95372,4.39476,1.81338,0.008878,0.008878,0.008878
19,200.751,1.64461,3.09948,1.78928,0.48946,0.42857,0.35262,0.14324,1.86229,4.04475,1.77792,0.008812,0.008812,0.008812
20,212.208,1.63522,3.40009,1.72384,0.48946,0.42857,0.35262,0.14324,1.86229,4.04475,1.77792,0.008746,0.008746,0.008746
21,223.725,1.48844,2.55281,1.54181,0.45431,0.14286,0.17657,0.06834,2.07195,4.00745,2.05514,0.00868,0.00868,0.00868
22,234.071,1.68243,2.79233,1.78478,0.42633,0.21261,0.16217,0.04425,2.64649,4.62958,2.48191,0.008614,0.008614,0.008614
23,244.419,1.53972,2.59334,1.64773,0.49368,0.34902,0.26195,0.13793,1.84364,4.30077,1.80205,0.008548,0.008548,0.008548
24,256.417,1.4646,2.61607,1.54603,0.43019,0.42857,0.35445,0.14885,1.87145,3.95981,1.83733,0.008482,0.008482,0.008482
25,268.134,1.61705,2.54232,1.62931,0.43019,0.42857,0.35445,0.14885,1.87145,3.95981,1.83733,0.008416,0.008416,0.008416
26,277.841,1.62758,2.69399,1.60415,0.5892,0.64286,0.55897,0.21188,1.9796,3.64833,1.93914,0.00835,0.00835,0.00835
27,287.973,1.59954,2.71373,1.61933,0.29697,0.54377,0.35236,0.14892,2.1245,3.36145,1.98208,0.008284,0.008284,0.008284
28,298.486,1.53282,2.59152,1.58007,0.61245,0.42857,0.45551,0.18883,2.20093,3.28874,1.95121,0.008218,0.008218,0.008218
29,309.26,1.50045,2.5985,1.62251,0.63038,0.48824,0.48091,0.19335,2.10379,3.35285,1.93468,0.008152,0.008152,0.008152
30,321.004,1.67501,3.27357,1.696,0.65816,0.414,0.44687,0.16537,2.09905,3.37324,2.00201,0.008086,0.008086,0.008086
31,330.759,1.50713,2.42409,1.48735,0.65816,0.414,0.44687,0.16537,2.09905,3.37324,2.00201,0.00802,0.00802,0.00802
32,340.745,1.63493,2.90941,1.61051,0.35704,0.64286,0.41634,0.21103,2.02164,3.39436,1.93282,0.007954,0.007954,0.007954
33,350.934,1.54395,2.72381,1.67288,0.75054,0.35714,0.46967,0.24386,1.96244,3.27584,2.2175,0.007888,0.007888,0.007888
34,360.913,1.40653,3.99456,1.47261,0.80051,0.42857,0.56116,0.2526,2.02316,2.92185,2.22229,0.007822,0.007822,0.007822
35,371.111,1.53617,2.61758,1.61651,0.56148,0.54987,0.54651,0.22799,2.04244,3.21094,2.22877,0.007756,0.007756,0.007756
36,381.337,1.46792,2.32511,1.57925,0.56148,0.54987,0.54651,0.22799,2.04244,3.21094,2.22877,0.00769,0.00769,0.00769
37,392.685,1.5271,2.38689,1.57207,0.82828,0.42857,0.50798,0.27872,1.91658,3.17794,2.00893,0.007624,0.007624,0.007624
38,403.024,1.51128,2.17964,1.64024,0.77287,0.48738,0.536,0.20937,2.28951,3.40874,2.34696,0.007558,0.007558,0.007558
39,414.459,1.47926,2.10841,1.56794,0.68427,0.5,0.51299,0.20671,2.13248,2.98382,2.2341,0.007492,0.007492,0.007492
40,424.423,1.50782,2.17295,1.51819,0.827,0.42857,0.5527,0.31206,1.88017,2.73342,1.90269,0.007426,0.007426,0.007426
