epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5455,1.92463,3.33764,2.06719,0.0026,1,0.01788,0.00722,1.67322,3.94906,2.35837,0.0955,0.0005,0.0005
2,58.0821,1.91025,3.25019,2.03342,0.0026,1,0.09483,0.03617,1.56836,3.92007,2.25299,0.0900891,0.00108911,0.00108911
3,86.7521,1.79028,3.19259,1.84912,0.0026,1,0.1437,0.08094,1.39652,3.67627,2.06138,0.0846663,0.00166634,0.00166634
4,115.646,1.53036,3.03569,1.70077,0.0026,1,0.30115,0.1565,1.33402,3.68651,1.98345,0.0792317,0.00223169,0.00223169
5,144.331,1.54816,3.06377,1.72999,0.0026,1,0.2454,0.12872,1.35479,3.54131,1.92248,0.0737852,0.00278516,0.00278516
6,172.995,1.48908,2.89288,1.6238,0.0026,1,0.39905,0.19513,1.37389,3.44661,1.85196,0.0683268,0.00332675,0.00332675
7,201.681,1.60576,2.96216,1.68011,0.0026,1,0.49807,0.24575,1.3491,3.47121,1.94745,0.0628565,0.00385646,0.00385646
8,230.38,1.467,2.6895,1.67907,0.0026,1,0.63183,0.31633,1.4366,3.51522,1.97273,0.0573743,0.00437429,0.00437429
9,259.291,1.45989,2.3958,1.53621,0.00563,1,0.79011,0.40262,1.25862,3.28477,1.73553,0.0518802,0.00488024,0.00488024
10,288.135,1.42815,2.0964,1.52908,0.93806,0.3885,0.67853,0.3297,1.37525,3.14706,1.75291,0.0463743,0.00537431,0.00537431
11,317.053,1.44668,1.88533,1.53573,0.86026,0.66667,0.79312,0.3792,1.54637,2.89267,1.84974,0.0408565,0.0058565,0.0058565
12,346.406,1.34395,1.81839,1.45539,0.88634,0.5641,0.73416,0.36847,1.6027,2.95513,1.98737,0.0353268,0.00632681,0.00632681
13,375.415,1.40556,1.76399,1.46818,0.83819,0.69231,0.74835,0.36782,1.6916,2.95585,2.07584,0.0297852,0.00678524,0.00678524
14,404.691,1.43658,1.87018,1.51634,0.90093,0.46655,0.65715,0.31685,1.63386,3.11346,2.13008,0.0242318,0.00723179,0.00723179
15,433.676,1.54494,1.95781,1.59165,0.78481,0.5612,0.58886,0.26091,1.84158,3.07391,2.44998,0.0186665,0.00766646,0.00766646
16,462.486,1.37898,1.68462,1.46242,0.8172,0.61538,0.71607,0.35111,1.75218,2.75754,2.31961,0.0130892,0.00808925,0.00808925
